***** rtt program started *****
HOST(IPv6): ::1                                     	RTT(1) = 0.070 ms	RTT(2) = 0.088 ms	RTT(3) = 0.095 ms	
HOST(IPv4): 5.62.58.28                              	RTT(1) = 114.633 ms	RTT(2) = 114.626 ms	RTT(3) = 114.619 ms	

HOST(IPv4): 5.62.60.112                             	RTT(1) = 114.656 ms	RTT(2) = 114.651 ms	RTT(3) = 114.641 ms	

HOST(IPv4): 5.62.58.24                              	RTT(1) = 114.657 ms	RTT(2) = 114.653 ms	RTT(3) = 114.647 ms	

HOST(IPv4): 185.246.210.178                         	RTT(1) = 114.683 ms	RTT(2) = 114.678 ms	RTT(3) = 114.670 ms	

HOST(IPv4): 5.62.56.20                              	RTT(1) = 114.684 ms	RTT(2) = 114.679 ms	RTT(3) = 114.672 ms	

HOST(IPv4): 5.62.62.148                             	RTT(1) = 114.423 ms	RTT(2) = 114.419 ms	RTT(3) = 114.413 ms	

HOST(IPv4): 5.62.56.32                              	RTT(1) = 114.696 ms	RTT(2) = 114.688 ms	RTT(3) = 114.682 ms	

HOST(IPv4): 5.62.60.100                             	RTT(1) = 114.708 ms	RTT(2) = 114.704 ms	RTT(3) = 114.696 ms	

HOST(IPv4): 94.198.41.142                           	RTT(1) = 114.721 ms	RTT(2) = 114.716 ms	RTT(3) = 114.709 ms	

HOST(IPv4): 5.62.62.152                             	RTT(1) = 114.448 ms	RTT(2) = 114.442 ms	RTT(3) = 114.436 ms	

HOST(IPv4): 5.62.62.16                              	RTT(1) = 114.737 ms	RTT(2) = 114.733 ms	RTT(3) = 114.726 ms	

HOST(IPv4): 5.62.60.96                              	RTT(1) = 114.740 ms	RTT(2) = 114.735 ms	RTT(3) = 114.729 ms	

HOST(IPv4): 5.62.61.248                             	RTT(1) = 114.741 ms	RTT(2) = 114.736 ms	RTT(3) = 114.731 ms	

HOST(IPv4): 5.62.58.16                              	RTT(1) = 114.760 ms	RTT(2) = 114.755 ms	RTT(3) = 114.747 ms	

HOST(IPv4): 5.62.62.80                              	RTT(1) = 114.763 ms	RTT(2) = 114.759 ms	RTT(3) = 114.753 ms	

HOST(IPv4): 5.62.58.100                             	RTT(1) = 114.446 ms	RTT(2) = 114.441 ms	RTT(3) = 114.436 ms	

HOST(IPv4): 5.62.62.116                             	RTT(1) = 114.473 ms	RTT(2) = 114.467 ms	RTT(3) = 114.461 ms	

HOST(IPv4): 5.62.60.148                             	RTT(1) = 114.474 ms	RTT(2) = 114.468 ms	RTT(3) = 114.462 ms	

HOST(IPv4): 5.62.56.44                              	RTT(1) = 114.793 ms	RTT(2) = 114.785 ms	RTT(3) = 114.774 ms	

HOST(IPv4): 5.62.62.4                               	RTT(1) = 114.815 ms	RTT(2) = 114.810 ms	RTT(3) = 114.802 ms	

HOST(IPv4): 5.62.60.64                              	RTT(1) = 114.816 ms	RTT(2) = 114.810 ms	RTT(3) = 114.800 ms	

HOST(IPv4): 5.62.58.40                              	RTT(1) = 114.816 ms	RTT(2) = 114.812 ms	RTT(3) = 114.807 ms	

HOST(IPv4): 80.255.7.19                             	RTT(1) = 114.449 ms	RTT(2) = 114.442 ms	RTT(3) = 114.437 ms	

HOST(IPv4): 5.62.60.136                             	RTT(1) = 114.475 ms	RTT(2) = 114.469 ms	RTT(3) = 114.463 ms	

HOST(IPv4): 5.62.58.84                              	RTT(1) = 114.498 ms	RTT(2) = 114.491 ms	RTT(3) = 114.484 ms	

HOST(IPv4): 185.77.217.106                          	RTT(1) = 114.473 ms	RTT(2) = 114.467 ms	RTT(3) = 114.462 ms	

HOST(IPv4): 156.146.35.185                          	RTT(1) = 114.843 ms	RTT(2) = 114.838 ms	RTT(3) = 114.065 ms	

HOST(IPv4): 5.62.60.60                              	RTT(1) = 114.845 ms	RTT(2) = 114.840 ms	RTT(3) = 114.834 ms	

HOST(IPv4): 82.221.112.243                          	RTT(1) = 114.395 ms	RTT(2) = 114.390 ms	RTT(3) = 114.382 ms	

HOST(IPv4): 5.62.62.20                              	RTT(1) = 114.846 ms	RTT(2) = 114.842 ms	RTT(3) = 114.835 ms	

HOST(IPv4): 84.17.58.168                            	RTT(1) = 114.846 ms	RTT(2) = 114.839 ms	RTT(3) = 114.100 ms	

HOST(IPv4): 103.77.235.46                           	RTT(1) = 114.857 ms	RTT(2) = 114.852 ms	RTT(3) = 114.844 ms	

HOST(IPv4): 5.62.60.56                              	RTT(1) = 114.500 ms	RTT(2) = 114.495 ms	RTT(3) = 114.487 ms	

HOST(IPv4): 5.62.56.128                             	RTT(1) = 114.861 ms	RTT(2) = 114.855 ms	RTT(3) = 114.065 ms	

HOST(IPv4): 5.62.56.96                              	RTT(1) = 114.447 ms	RTT(2) = 114.441 ms	RTT(3) = 114.436 ms	

HOST(IPv4): 5.62.60.12                              	RTT(1) = 114.866 ms	RTT(2) = 114.862 ms	RTT(3) = 114.857 ms	

HOST(IPv4): 5.62.60.172                             	RTT(1) = 114.395 ms	RTT(2) = 114.390 ms	RTT(3) = 114.383 ms	

HOST(IPv4): 5.62.61.240                             	RTT(1) = 114.868 ms	RTT(2) = 114.864 ms	RTT(3) = 114.860 ms	

HOST(IPv4): 5.62.56.4                               	RTT(1) = 114.869 ms	RTT(2) = 114.864 ms	RTT(3) = 114.859 ms	

HOST(IPv4): 5.62.56.112                             	RTT(1) = 114.421 ms	RTT(2) = 114.416 ms	RTT(3) = 114.411 ms	

HOST(IPv4): 5.62.62.184                             	RTT(1) = 114.883 ms	RTT(2) = 114.874 ms	RTT(3) = 114.066 ms	

HOST(IPv4): 5.62.60.28                              	RTT(1) = 114.892 ms	RTT(2) = 114.887 ms	RTT(3) = 114.879 ms	

HOST(IPv4): 5.62.58.12                              	RTT(1) = 114.892 ms	RTT(2) = 114.887 ms	RTT(3) = 114.879 ms	

HOST(IPv4): 78.153.199.254                          	RTT(1) = 114.897 ms	RTT(2) = 114.889 ms	RTT(3) = 114.024 ms	

HOST(IPv4): 5.62.60.24                              	RTT(1) = 114.902 ms	RTT(2) = 114.894 ms	RTT(3) = 114.888 ms	

HOST(IPv4): 5.62.60.176                             	RTT(1) = 114.394 ms	RTT(2) = 114.390 ms	RTT(3) = 114.383 ms	

HOST(IPv4): 5.62.62.8                               	RTT(1) = 114.914 ms	RTT(2) = 114.909 ms	RTT(3) = 114.904 ms	

HOST(IPv4): 185.252.223.62                          	RTT(1) = 114.422 ms	RTT(2) = 114.417 ms	RTT(3) = 114.412 ms	

HOST(IPv4): 5.62.56.116                             	RTT(1) = 114.448 ms	RTT(2) = 114.442 ms	RTT(3) = 114.437 ms	

HOST(IPv4): 5.62.62.136                             	RTT(1) = 114.500 ms	RTT(2) = 114.494 ms	RTT(3) = 114.486 ms	

HOST(IPv4): 185.185.132.110                         	RTT(1) = 114.917 ms	RTT(2) = 114.913 ms	RTT(3) = 114.907 ms	

HOST(IPv4): 5.62.56.124                             	RTT(1) = 114.394 ms	RTT(2) = 114.389 ms	RTT(3) = 114.382 ms	

HOST(IPv4): 5.62.62.180                             	RTT(1) = 114.922 ms	RTT(2) = 114.914 ms	RTT(3) = 114.096 ms	

HOST(IPv4): 5.62.63.232                             	RTT(1) = 114.928 ms	RTT(2) = 114.923 ms	RTT(3) = 114.915 ms	

HOST(IPv4): 37.120.232.78                           	RTT(1) = 114.524 ms	RTT(2) = 114.520 ms	RTT(3) = 114.515 ms	

HOST(IPv4): 5.62.56.76                              	RTT(1) = 114.545 ms	RTT(2) = 114.541 ms	RTT(3) = 114.536 ms	

HOST(IPv4): 5.62.63.224                             	RTT(1) = 114.545 ms	RTT(2) = 114.541 ms	RTT(3) = 114.537 ms	

HOST(IPv4): 5.62.58.64                              	RTT(1) = 114.587 ms	RTT(2) = 114.582 ms	RTT(3) = 114.573 ms	

HOST(IPv4): 5.62.62.44                              	RTT(1) = 114.631 ms	RTT(2) = 114.625 ms	RTT(3) = 114.620 ms	

HOST(IPv4): 5.62.60.48                              	RTT(1) = 114.671 ms	RTT(2) = 114.663 ms	RTT(3) = 114.655 ms	

HOST(IPv4): 37.120.142.14                           	RTT(1) = 137.800 ms	RTT(2) = 137.796 ms	RTT(3) = 137.791 ms	

HOST(IPv4): 5.62.61.112                             	RTT(1) = 137.822 ms	RTT(2) = 137.817 ms	RTT(3) = 137.812 ms	

HOST(IPv4): 5.62.56.200                             	RTT(1) = 137.830 ms	RTT(2) = 137.826 ms	RTT(3) = 137.821 ms	

HOST(IPv4): 5.62.61.72                              	RTT(1) = 137.842 ms	RTT(2) = 137.838 ms	RTT(3) = 137.834 ms	

HOST(IPv4): 5.62.61.80                              	RTT(1) = 137.851 ms	RTT(2) = 137.846 ms	RTT(3) = 137.842 ms	

HOST(IPv4): 5.62.61.104                             	RTT(1) = 137.863 ms	RTT(2) = 137.859 ms	RTT(3) = 137.853 ms	

